axis,start_idx,end_idx,start_time,end_time,duration_sec,peak_resid,label
Axis #5,0,0,2022-10-17 12:18:23.660000+00:00,2022-10-17 12:18:23.660000+00:00,0.0,4.3033,WARNING
Axis #4,8,8,2022-10-17 12:18:38.708000+00:00,2022-10-17 12:18:38.708000+00:00,0.0,3.5506,WARNING
Axis #3,13,13,2022-10-17 12:18:48.128000+00:00,2022-10-17 12:18:48.128000+00:00,0.0,11.5909,WARNING
Axis #7,27,27,2022-10-17 12:19:14.427000+00:00,2022-10-17 12:19:14.427000+00:00,0.0,4.6625,WARNING
Axis #1,30,30,2022-10-17 12:19:20.136000+00:00,2022-10-17 12:19:20.136000+00:00,0.0,4.6257,WARNING
Axis #5,31,31,2022-10-17 12:19:22.005000+00:00,2022-10-17 12:19:22.005000+00:00,0.0,5.3746,WARNING
Axis #5,36,36,2022-10-17 12:19:35.905000+00:00,2022-10-17 12:19:35.905000+00:00,0.0,4.4189,WARNING
Axis #2,40,40,2022-10-17 12:19:43.676000+00:00,2022-10-17 12:19:43.676000+00:00,0.0,13.81,WARNING
Axis #3,49,49,2022-10-17 12:20:00.883000+00:00,2022-10-17 12:20:00.883000+00:00,0.0,12.339,WARNING
Axis #3,51,51,2022-10-17 12:20:04.512000+00:00,2022-10-17 12:20:04.512000+00:00,0.0,11.4087,WARNING
Axis #6,54,54,2022-10-17 12:20:10.206000+00:00,2022-10-17 12:20:10.206000+00:00,0.0,3.6093,WARNING
Axis #2,59,59,2022-10-17 12:20:19.550000+00:00,2022-10-17 12:20:19.550000+00:00,0.0,14.8424,WARNING
Axis #2,62,62,2022-10-17 12:20:25.183000+00:00,2022-10-17 12:20:25.183000+00:00,0.0,16.6612,WARNING
Axis #4,63,63,2022-10-17 12:20:27.089000+00:00,2022-10-17 12:20:27.089000+00:00,0.0,3.329,WARNING
Axis #4,66,66,2022-10-17 12:20:36.184000+00:00,2022-10-17 12:20:36.184000+00:00,0.0,3.4615,WARNING
Axis #5,74,74,2022-10-17 12:20:51.065000+00:00,2022-10-17 12:20:51.065000+00:00,0.0,4.8331,WARNING
Axis #3,82,82,2022-10-17 12:21:06.267000+00:00,2022-10-17 12:21:06.267000+00:00,0.0,11.8666,WARNING
Axis #5,84,84,2022-10-17 12:21:10.111000+00:00,2022-10-17 12:21:10.111000+00:00,0.0,6.1445,WARNING
Axis #6,85,85,2022-10-17 12:21:12.097000+00:00,2022-10-17 12:21:12.097000+00:00,0.0,3.6698,WARNING
Axis #8,88,88,2022-10-17 12:21:17.794000+00:00,2022-10-17 12:21:17.794000+00:00,0.0,0.9296,WARNING
Axis #6,93,93,2022-10-17 12:21:27.301000+00:00,2022-10-17 12:21:27.301000+00:00,0.0,3.9174,WARNING
Axis #3,115,115,2022-10-17 12:22:13.592000+00:00,2022-10-17 12:22:13.592000+00:00,0.0,15.6861,WARNING
Axis #4,116,116,2022-10-17 12:22:15.469000+00:00,2022-10-17 12:22:15.469000+00:00,0.0,3.4516,WARNING
Axis #7,117,117,2022-10-17 12:22:17.347000+00:00,2022-10-17 12:22:17.347000+00:00,0.0,4.8752,WARNING
Axis #7,129,129,2022-10-17 12:22:43.327000+00:00,2022-10-17 12:22:43.327000+00:00,0.0,5.2708,WARNING
Axis #2,134,134,2022-10-17 12:22:53.033000+00:00,2022-10-17 12:22:53.033000+00:00,0.0,14.8194,WARNING
Axis #1,138,139,2022-10-17 12:23:00.758000+00:00,2022-10-17 12:23:02.680000+00:00,1.922,6.2954,WARNING
Axis #8,143,143,2022-10-17 12:23:10.253000+00:00,2022-10-17 12:23:10.253000+00:00,0.0,0.9185,WARNING
Axis #8,147,147,2022-10-17 12:23:17.894000+00:00,2022-10-17 12:23:17.894000+00:00,0.0,0.9953,WARNING
Axis #6,153,153,2022-10-17 12:23:29.206000+00:00,2022-10-17 12:23:29.206000+00:00,0.0,3.9059,WARNING
Axis #2,154,154,2022-10-17 12:23:31.072000+00:00,2022-10-17 12:23:31.072000+00:00,0.0,17.424,WARNING
Axis #4,161,161,2022-10-17 12:23:47.871000+00:00,2022-10-17 12:23:47.871000+00:00,0.0,3.1785,WARNING
Axis #1,162,162,2022-10-17 12:23:49.839000+00:00,2022-10-17 12:23:49.839000+00:00,0.0,4.5972,WARNING
Axis #4,170,170,2022-10-17 12:24:05.196000+00:00,2022-10-17 12:24:05.196000+00:00,0.0,3.2353,WARNING
Axis #8,175,175,2022-10-17 12:24:14.805000+00:00,2022-10-17 12:24:14.805000+00:00,0.0,0.8659,WARNING
Axis #2,180,180,2022-10-17 12:24:24.207000+00:00,2022-10-17 12:24:24.207000+00:00,0.0,15.7847,WARNING
Axis #3,195,195,2022-10-17 12:24:56.856000+00:00,2022-10-17 12:24:56.856000+00:00,0.0,12.3502,WARNING
Axis #5,195,195,2022-10-17 12:24:56.856000+00:00,2022-10-17 12:24:56.856000+00:00,0.0,4.671,WARNING
Axis #8,198,198,2022-10-17 12:25:02.642000+00:00,2022-10-17 12:25:02.642000+00:00,0.0,1.1728,WARNING
