axis,start_time,end_time,duration_sec,peak_resid,label
Axis #5,2022-10-18 02:53:44.294000+00:00,2022-10-18 02:53:44.294000+00:00,0.0,4.4115,WARNING
Axis #4,2022-10-18 02:53:49.967000+00:00,2022-10-18 02:53:49.967000+00:00,0.0,3.6991,WARNING
Axis #3,2022-10-18 02:54:01.313000+00:00,2022-10-18 02:54:01.313000+00:00,0.0,11.0065,WARNING
Axis #5,2022-10-18 02:54:01.313000+00:00,2022-10-18 02:54:01.313000+00:00,0.0,6.5467,WARNING
Axis #2,2022-10-18 02:54:18.332000+00:00,2022-10-18 02:54:18.332000+00:00,0.0,14.3504,WARNING
Axis #7,2022-10-18 02:54:37.242000+00:00,2022-10-18 02:54:37.242000+00:00,0.0,4.4567,WARNING
Axis #2,2022-10-18 02:54:50.479000+00:00,2022-10-18 02:54:50.479000+00:00,0.0,15.865,WARNING
Axis #5,2022-10-18 02:54:50.479000+00:00,2022-10-18 02:54:50.479000+00:00,0.0,5.6658,WARNING
Axis #1,2022-10-18 02:54:58.043000+00:00,2022-10-18 02:54:58.043000+00:00,0.0,4.2882,WARNING
Axis #6,2022-10-18 02:55:13.171000+00:00,2022-10-18 02:55:13.171000+00:00,0.0,5.0225,WARNING
Axis #6,2022-10-18 02:55:22.626000+00:00,2022-10-18 02:55:22.626000+00:00,0.0,4.154,WARNING
Axis #3,2022-10-18 02:55:35.863000+00:00,2022-10-18 02:55:35.863000+00:00,0.0,10.2396,WARNING
Axis #6,2022-10-18 02:55:41.536000+00:00,2022-10-18 02:55:41.536000+00:00,0.0,3.6623,WARNING
Axis #7,2022-10-18 02:55:45.318000+00:00,2022-10-18 02:55:45.318000+00:00,0.0,5.7389,WARNING
Axis #2,2022-10-18 02:55:47.209000+00:00,2022-10-18 02:55:47.209000+00:00,0.0,13.9179,WARNING
Axis #8,2022-10-18 02:56:04.228000+00:00,2022-10-18 02:56:04.228000+00:00,0.0,0.9852,WARNING
Axis #2,2022-10-18 02:56:15.574000+00:00,2022-10-18 02:56:15.574000+00:00,0.0,14.5054,WARNING
Axis #3,2022-10-18 02:56:21.247000+00:00,2022-10-18 02:56:21.247000+00:00,0.0,13.758,WARNING
Axis #4,2022-10-18 02:56:38.266000+00:00,2022-10-18 02:56:38.266000+00:00,0.0,3.3718,WARNING
Axis #6,2022-10-18 02:56:42.048000+00:00,2022-10-18 02:56:42.048000+00:00,0.0,3.8583,WARNING
Axis #8,2022-10-18 02:57:10.413000+00:00,2022-10-18 02:57:10.413000+00:00,0.0,1.1298,WARNING
Axis #4,2022-10-18 02:57:33.105000+00:00,2022-10-18 02:57:33.105000+00:00,0.0,3.2074,WARNING
Axis #1,2022-10-18 02:57:46.342000+00:00,2022-10-18 02:57:46.342000+00:00,0.0,5.4525,WARNING
Axis #2,2022-10-18 02:57:52.015000+00:00,2022-10-18 02:57:52.015000+00:00,0.0,14.6561,WARNING
Axis #3,2022-10-18 02:58:03.361000+00:00,2022-10-18 02:58:03.361000+00:00,0.0,15.0038,WARNING
Axis #6,2022-10-18 02:58:24.162000+00:00,2022-10-18 02:58:24.162000+00:00,0.0,4.7851,WARNING
